RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000020704	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000020705	5028	8548	3289	3955	4084	1895	2411	2789	2759	2302	1989	1883	3584	2796	4069
ENSMUSG00000020706	4987	6799	3552	2965	3301	1644	3899	4664	4262	2128	1862	1738	2977	2065	3137
ENSMUSG00000020707	261	397	199	306	443	435	374	406	446	647	694	431	1071	517	768
ENSMUSG00000020708	5263	5527	4564	5088	5475	6579	6859	8338	6018	4888	4169	5395	6383	4338	5180
ENSMUSG00000020709	20	7	11	109	112	41	53	77	72	37	474	184	257	88	399
ENSMUSG00000020712	3	0	1	0	5	17	28	42	43	0	0	1	3	0	15
ENSMUSG00000020713	4	0	1	2	0	5	0	0	0	0	7	0	0	1	1
ENSMUSG00000020715	93	112	48	141	115	76	47	37	64	157	231	139	365	102	286
ENSMUSG00000020716	199	308	132	121	119	39	125	151	200	227	246	266	275	301	409
ENSMUSG00000020717	8654	10432	6977	4556	4640	2448	3844	5405	4910	645	1577	1163	1562	485	870
ENSMUSG00000020718	764	970	576	386	357	269	405	546	580	316	308	429	390	368	563
ENSMUSG00000020719	16548	17878	8361	11210	11704	5603	8606	10257	12124	10069	7643	11698	9465	10194	14235
ENSMUSG00000020720	4646	5083	3335	4840	5067	3776	6435	7808	7137	3465	3135	3670	4101	3550	5061
ENSMUSG00000020721	4402	4385	1750	2478	2193	968	784	1000	1268	1310	1122	1353	1731	1859	2303
ENSMUSG00000020722	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000020723	3	4	6	0	0	0	5	3	3	0	0	0	0	0	0
ENSMUSG00000020728	0	1	0	3	1	0	0	6	21	2	2	10	2	3	10
ENSMUSG00000020732	4413	7183	5335	6175	6655	5354	2230	3068	2191	4140	3210	3837	6341	3935	4489
ENSMUSG00000020733	14301	11152	11218	12112	13262	18207	6792	9155	6803	9193	6329	3010	9586	8050	9151
ENSMUSG00000020734	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000020736	5648	6601	5110	6055	6630	7092	5310	6725	5543	2369	3034	2693	3059	2048	3168
ENSMUSG00000020737	20321	20651	16800	22387	26623	31750	16393	20932	15437	12804	12524	14905	18931	12529	19607
ENSMUSG00000020738	1275	1559	1024	1471	1444	1336	1362	1735	1462	959	1030	1079	1315	965	1507
ENSMUSG00000020739	1977	2626	1531	1312	1597	2313	3244	3544	2622	2471	1576	1924	2942	2333	2829
ENSMUSG00000020740	2517	3410	1716	1179	1197	1110	753	998	950	1039	965	894	1944	1016	1527
ENSMUSG00000020741	687	760	603	415	415	238	742	736	815	424	436	387	602	389	395
ENSMUSG00000020743	2566	2967	1913	3404	3795	3962	2011	2733	1923	2402	2100	1825	2786	2467	2424
ENSMUSG00000020744	1912	2234	1406	2067	2315	2539	1765	2529	1856	1650	1493	1905	2641	1564	1296
ENSMUSG00000020745	4989	4713	2471	4038	3899	2538	2316	2788	3381	2354	2250	2481	2417	2791	4216
ENSMUSG00000020747	938	714	613	787	756	662	576	839	713	526	474	242	876	587	649
ENSMUSG00000020752	964	1234	641	754	906	788	579	636	717	661	602	513	1113	757	704
ENSMUSG00000020755	3439	3487	2874	3200	3509	3208	2420	2866	2255	2858	2381	2665	4433	2535	3036
ENSMUSG00000020758	17	18	32	15	7	4	7	7	6	22	10	1	2	0	16
ENSMUSG00000020766	462	632	737	472	456	534	2038	2499	1743	569	826	289	725	787	795
ENSMUSG00000020770	791	1015	636	482	337	251	349	341	373	384	315	194	434	540	504
ENSMUSG00000020773	6	1	10	23	10	12	13	26	17	2	14	5	3	10	6
ENSMUSG00000020774	1	3	0	7	3	6	0	1	1	4	10	27	10	1	10
ENSMUSG00000020775	1088	1029	896	981	878	1006	765	943	678	807	686	443	723	751	881
ENSMUSG00000020776	167	203	131	168	89	75	75	89	90	112	117	71	110	122	98
ENSMUSG00000020777	1181	1110	666	1123	1298	752	313	413	362	499	491	451	1052	502	731
ENSMUSG00000020778	1721	1607	1472	2657	2615	3014	1361	1939	1529	1103	1144	645	1419	912	1322
ENSMUSG00000020780	2675	2809	2309	3151	3319	3058	2766	3440	2595	1838	1355	1590	2604	1883	2333
ENSMUSG00000020781	418	419	394	847	710	917	682	906	677	372	484	170	503	393	555
ENSMUSG00000020782	198	126	162	202	196	150	100	120	129	300	216	125	270	347	359
ENSMUSG00000020783	2235	2507	1324	1883	1924	1193	1332	1644	1675	1166	1168	1135	1802	1616	2705
ENSMUSG00000020785	155	206	159	51	78	36	27	32	20	84	101	51	156	146	279
ENSMUSG00000020787	38	7	5	34	5	26	13	17	17	19	85	31	86	9	60
ENSMUSG00000020788	8424	6995	6679	9402	9539	8516	6002	7331	7198	5477	3796	2361	7032	6509	7552
ENSMUSG00000020790	3495	3296	1888	1981	2218	1166	968	1279	1893	1171	1425	1471	2220	1880	2382
ENSMUSG00000020792	2335	3189	2442	2638	3220	2981	2108	2627	2080	2980	2460	3687	5014	2750	3322
ENSMUSG00000020793	2	0	0	1	1	0	0	0	0	0	1	2	0	0	1
ENSMUSG00000020794	4095	3888	2511	3755	3629	1892	2219	2871	3115	2702	2222	2861	3182	2997	3861
ENSMUSG00000020798	35	26	14	22	68	36	52	76	31	330	249	157	588	380	623
ENSMUSG00000020799	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020801	558	624	452	406	478	574	414	587	466	431	422	392	553	317	559
ENSMUSG00000020802	138	86	80	100	114	56	83	74	69	209	134	75	74	95	147
ENSMUSG00000020803	2990	2834	2380	4890	5067	4581	3110	4032	3349	2405	3221	2127	3174	2490	3760
ENSMUSG00000020804	0	1	0	1	0	1	0	2	2	1	3	0	1	0	0
ENSMUSG00000020805	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0
ENSMUSG00000020806	198	229	245	570	697	453	205	272	218	230	307	207	545	234	368
ENSMUSG00000020807	6	9	2	9	6	1	2	4	8	8	3	5	10	7	8
ENSMUSG00000020808	12	5	4	418	532	1237	1111	1297	925	186	259	148	992	352	1082
ENSMUSG00000020810	1	0	0	2	0	5	0	0	0	0	9	1	2	8	3
ENSMUSG00000020811	0	0	0	0	0	0	0	0	0	2	0	0	3	2	15
ENSMUSG00000020812	406	639	399	323	335	233	208	274	198	308	239	301	365	306	419
ENSMUSG00000020814	3	0	0	0	2	3	1	0	0	13	0	1	1	0	0
ENSMUSG00000020817	807	1082	474	606	529	181	294	394	663	330	384	488	459	517	720
ENSMUSG00000020818	770	709	530	846	975	924	496	787	687	551	796	835	1269	718	946
ENSMUSG00000020821	139	107	85	133	124	59	80	60	79	124	158	159	209	183	198
ENSMUSG00000020823	1054	642	609	1039	1107	1010	552	697	656	645	1097	403	1158	615	1127
ENSMUSG00000020826	3	0	0	0	11	4	10	8	2	9	0	0	0	0	0
ENSMUSG00000020827	284	283	215	369	312	144	154	193	222	288	251	149	302	309	272
ENSMUSG00000020828	13	12	11	59	102	66	31	32	49	66	58	61	152	50	58
ENSMUSG00000020829	46	30	44	19	23	10	19	28	16	18	71	51	88	21	41
ENSMUSG00000020830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020831	60	168	59	54	52	38	18	42	28	16	23	44	47	24	56
ENSMUSG00000020832	2279	2947	2009	1534	1694	2029	1420	1807	1384	2127	1544	1788	2881	2006	2342
ENSMUSG00000020834	156	78	59	58	82	122	96	150	112	57	77	44	48	108	121
ENSMUSG00000020836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020838	19	3	10	8	0	6	0	0	4	0	13	8	21	7	16
ENSMUSG00000020839	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0
ENSMUSG00000020840	5141	4442	3529	6782	7930	6657	7276	9142	7686	4313	3879	4685	6204	4211	4682
ENSMUSG00000020841	9	6	7	27	24	12	36	69	74	28	96	111	104	25	138
ENSMUSG00000020843	1911	2029	1660	1613	1926	2382	2052	2612	1909	1687	1570	1884	2702	1557	2222
ENSMUSG00000020844	56	68	61	83	88	140	94	105	75	66	46	40	65	77	90
ENSMUSG00000020846	6082	5515	4137	906	773	347	37	79	57	320	305	272	641	708	624
ENSMUSG00000020847	324	477	299	198	221	235	132	148	160	100	101	74	156	141	143
ENSMUSG00000020848	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2
ENSMUSG00000020849	22709	24034	14075	29611	31993	28492	32433	39374	35893	15412	16702	24235	25613	18558	25420
ENSMUSG00000020850	4631	4160	3037	2658	2632	1647	2366	2563	2935	2615	2198	2671	3883	2974	3297
ENSMUSG00000020857	108	114	100	111	94	146	130	171	97	47	45	42	45	27	54
ENSMUSG00000020859	1238	1986	452	711	680	301	384	569	895	773	801	1394	1022	937	1258
ENSMUSG00000020863	5991	13193	3416	6135	6402	2505	2806	3655	5527	1552	1884	3189	2315	2591	4731
ENSMUSG00000020864	552	579	378	536	547	335	346	419	402	488	519	532	632	418	587
ENSMUSG00000020865	60	19	19	90	93	53	19	14	11	59	169	60	337	113	274
ENSMUSG00000020866	3	0	0	0	0	2	0	0	0	0	3	2	6	0	0
ENSMUSG00000020867	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020868	332	543	523	460	335	299	143	238	224	517	350	261	602	652	517
ENSMUSG00000020869	1023	903	753	1236	1157	1810	1071	1429	1211	971	962	565	1410	1360	1575
ENSMUSG00000020870	1	1	3	1	8	2	0	7	3	0	2	2	4	0	3
ENSMUSG00000020871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000020872	2	6	2	1	2	2	0	1	1	1	5	2	1	1	4
ENSMUSG00000020873	1534	2096	1240	2129	2504	3114	1856	2164	1763	2399	2323	2605	3310	1969	3324
ENSMUSG00000020875	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000020876	375	475	347	475	676	600	392	453	349	463	300	133	623	348	500
ENSMUSG00000020877	256	350	358	250	254	395	550	750	463	541	360	351	605	433	372
ENSMUSG00000020878	13	8	0	1	0	6	6	0	1	3	0	1	13	3	1
ENSMUSG00000020882	129	171	109	35	18	15	1	4	10	16	10	13	12	13	22
ENSMUSG00000020883	588	773	360	397	416	170	127	192	243	320	380	419	504	377	501
ENSMUSG00000020884	0	0	0	0	1	0	2	10	0	25	5	8	5	5	8
ENSMUSG00000020886	687	965	414	392	430	264	143	187	163	38	122	62	162	85	172
ENSMUSG00000020887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020888	510	422	373	239	222	184	131	200	185	171	197	75	207	211	146
ENSMUSG00000020889	162	304	222	42	82	14	8	9	5	82	45	10	29	14	35
ENSMUSG00000020890	8	0	0	3	14	4	12	5	6	0	0	0	2	3	0
ENSMUSG00000020891	1	2	0	103	115	73	9	12	21	35	44	16	127	42	164
ENSMUSG00000020892	5	0	1	18	3	5	3	2	1	4	10	4	6	0	13
ENSMUSG00000020893	231	212	170	165	141	62	126	194	248	235	306	135	354	259	297
ENSMUSG00000020894	829	1358	913	952	810	574	513	602	735	1096	789	368	1265	1248	1252
ENSMUSG00000020895	106	185	138	141	194	499	311	460	252	60	102	84	163	110	161
ENSMUSG00000020897	69	20	12	1339	1608	4211	5088	5273	4036	443	612	504	1654	776	1257
ENSMUSG00000020898	413	453	333	189	256	441	749	871	663	386	527	217	656	315	716
ENSMUSG00000020899	2726	3666	1995	1321	1211	1569	5287	5397	5181	2009	1578	3957	3345	2583	2721
ENSMUSG00000020900	100	176	50	79	90	21	43	56	66	42	33	55	64	43	61
ENSMUSG00000020901	3497	3208	2081	4277	3976	2193	759	1054	1195	841	768	620	1371	1556	1356
ENSMUSG00000020902	8	14	2	1	1	2	1	4	3	10	7	6	6	3	8
ENSMUSG00000020903	1633	1661	1106	2051	2091	2290	1452	1952	1453	1890	1956	1622	2495	1828	2442
ENSMUSG00000020904	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0
ENSMUSG00000020905	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000020907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000020908	2	0	0	0	0	1	0	0	1	0	3	0	0	0	2
ENSMUSG00000020910	1501	1798	1157	2022	2158	1582	1105	1478	1265	1756	1243	1650	2064	1813	2207
ENSMUSG00000020911	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
ENSMUSG00000020912	2	0	2	0	1	0	1	1	0	0	4	0	0	0	0
ENSMUSG00000020913	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000020914	547	345	94	5605	7332	9775	13292	14526	19323	1453	1530	1716	3340	2794	6739
ENSMUSG00000020916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020917	6882	7231	4864	6018	7410	5685	5281	6700	6047	6083	3455	4177	8644	4501	4643
ENSMUSG00000020918	1213	947	941	792	707	651	881	1153	1014	543	597	306	533	719	537
ENSMUSG00000020919	3143	3192	2307	1852	2065	1643	994	1205	1229	1101	1386	894	1889	1411	1287
ENSMUSG00000020921	289	290	302	671	606	793	548	594	396	598	285	485	924	523	428
ENSMUSG00000020922	2358	2223	2134	2783	2531	2481	3245	4109	3547	1828	2262	964	2517	2284	3164
ENSMUSG00000020923	3740	3105	2767	3390	3515	3288	3508	4106	3580	2879	2652	2014	3019	3739	3472
ENSMUSG00000020925	1850	2252	1241	1714	1957	1544	1483	1919	1728	1057	1197	1412	1784	1454	1893
ENSMUSG00000020926	3	0	0	5	0	3	0	0	0	5	1	0	2	0	0
ENSMUSG00000020928	0	3	0	0	0	0	1	0	0	0	0	1	0	1	2
ENSMUSG00000020929	6111	7194	4795	5399	6508	6692	7846	9208	6867	4570	4238	3204	7891	4457	6013
ENSMUSG00000020930	0	0	0	2	1	7	0	0	1	0	0	0	0	0	0
ENSMUSG00000020932	0	0	2	1	2	20	0	5	0	0	0	0	1	0	0
ENSMUSG00000020935	1163	1057	876	781	999	897	1253	1510	1111	913	1035	1082	1280	823	1177
ENSMUSG00000020936	4724	5828	3586	5484	6172	5676	4590	5558	4209	4084	4234	5770	7172	3551	5459
ENSMUSG00000020937	3	4	5	18	5	1	5	5	4	2	3	0	1	0	0
ENSMUSG00000020940	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000020941	3973	4713	3070	1515	1660	1015	599	702	741	1134	1175	893	2533	1214	1423
ENSMUSG00000020945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020946	6067	7083	4901	6276	7487	6791	4169	5438	4373	4383	4785	4622	8675	4237	5793
ENSMUSG00000020948	2362	2592	1016	2112	2450	760	596	774	1081	1004	748	987	1210	1064	1603
ENSMUSG00000020949	5324	8249	3891	5490	5314	2931	4468	5649	5372	3353	2661	5506	4518	3706	5199
ENSMUSG00000020950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020952	3097	5070	2146	4093	4069	1459	2350	2819	3499	2264	1687	2874	2270	2531	3401
ENSMUSG00000020953	58	62	22	69	47	51	8	9	15	571	472	723	307	820	525
ENSMUSG00000020954	926	1558	459	538	583	218	230	358	603	475	461	787	585	635	1054
ENSMUSG00000020955	496	481	413	620	596	445	453	659	582	483	513	291	440	503	709
ENSMUSG00000020956	527	800	594	1089	1177	847	951	1136	935	792	707	731	1117	790	890
ENSMUSG00000020961	39	9	0	28	26	10	3	3	1	2	49	1	31	5	12
ENSMUSG00000020962	4810	8018	3121	4943	4156	2571	2295	3006	3766	2850	2109	5610	4732	3452	5134
ENSMUSG00000020963	0	1	0	1	2	0	0	0	2	0	0	1	3	0	0
ENSMUSG00000020964	2710	2954	1754	2365	2531	1540	1131	1521	1614	1645	1735	1629	2941	2211	2949
ENSMUSG00000020973	111	115	106	137	150	117	135	172	156	97	66	105	124	106	122
ENSMUSG00000020974	471	619	311	440	411	690	944	980	861	183	235	233	329	240	568
ENSMUSG00000020978	541	551	548	341	348	213	768	850	995	539	468	512	497	451	681
ENSMUSG00000020982	3637	6427	1952	4091	3527	1125	1856	2662	3725	1675	1150	2283	1891	2089	3073
ENSMUSG00000020986	2097	2413	1102	1766	2095	1131	928	1104	1328	1057	1046	1460	1719	1536	1797
ENSMUSG00000020988	88	135	70	40	44	27	114	118	144	54	79	71	119	91	104
ENSMUSG00000020990	2	0	0	9	1	6	0	0	0	3	0	2	1	0	7
ENSMUSG00000020992	7	11	4	3	4	0	1	0	3	1	10	7	6	3	26
ENSMUSG00000020993	1520	2268	869	1327	1274	597	665	782	939	1036	868	1154	1161	1210	1673
ENSMUSG00000020994	4653	8332	1877	3519	3439	1627	2126	2301	3598	1233	1111	1525	1751	1595	2772
ENSMUSG00000021000	1340	1771	832	702	698	294	468	562	694	290	623	583	598	476	914
ENSMUSG00000021003	230	228	109	145	186	72	60	86	81	218	316	274	369	341	408
ENSMUSG00000021007	18	35	5	13	14	6	40	61	40	35	66	84	141	27	61
ENSMUSG00000021009	75	174	96	130	162	55	54	80	57	99	132	111	316	189	247
ENSMUSG00000021010	19	0	1	0	2	3	0	0	0	0	8	0	4	0	8
ENSMUSG00000021012	1289	1722	801	1571	1386	543	602	791	960	769	753	900	1056	1232	1603
ENSMUSG00000021013	84	145	60	25	38	12	64	67	38	139	79	114	165	70	158
ENSMUSG00000021018	1689	1776	1599	1699	1807	2052	2378	2957	2190	1599	1521	1274	2073	1352	1985
ENSMUSG00000021022	640	879	447	958	1005	511	782	1047	1082	592	633	867	649	536	915
ENSMUSG00000021023	546	845	499	687	734	357	675	921	781	350	469	610	460	291	586
ENSMUSG00000021024	8138	7928	6366	9878	10242	9612	10153	12872	9857	6024	6583	5930	8442	6091	8077
ENSMUSG00000021025	20006	13363	9743	7667	7894	5500	5431	9302	8428	6442	10167	6016	12589	5278	10158
ENSMUSG00000021027	859	1315	338	473	572	186	293	390	608	376	392	567	430	458	713
ENSMUSG00000021028	1072	1396	764	1169	1118	538	760	887	914	771	556	1282	939	802	1075
ENSMUSG00000021032	7	2	0	2	0	0	7	1	2	30	25	22	44	12	6
ENSMUSG00000021033	656	850	494	483	431	434	778	989	759	655	594	769	893	714	722
ENSMUSG00000021036	1961	1879	1621	3007	2774	1841	1243	1653	1579	1582	2057	1373	2134	1795	2864
ENSMUSG00000021037	6758	5487	4079	4669	4915	5277	5333	6710	5509	4129	3961	4587	5354	4420	5100
ENSMUSG00000021038	2472	2521	1818	2460	2271	2101	1428	1883	1654	2014	1998	2124	2805	2227	2462
ENSMUSG00000021039	7389	7615	4622	6887	7117	4342	4974	6715	5856	4638	4436	5999	6789	5012	6390
ENSMUSG00000021040	2	7	0	6	1	2	2	7	6	4	7	4	3	4	2
ENSMUSG00000021044	875	937	706	537	667	646	418	554	373	605	485	506	1033	445	766
ENSMUSG00000021047	8	1	1	0	0	2	0	0	3	0	0	0	3	0	0
ENSMUSG00000021048	2089	2831	2251	987	1093	1373	4295	5105	3758	1082	967	725	2172	1342	1368
ENSMUSG00000021051	579	665	340	639	500	243	290	374	475	443	354	565	560	543	622
ENSMUSG00000021054	1006	872	580	768	694	308	344	472	446	666	687	831	811	842	1213
ENSMUSG00000021055	4	0	2	0	0	1	1	0	1	0	2	0	0	0	1
ENSMUSG00000021056	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1
ENSMUSG00000021057	271	507	96	93	98	38	29	55	64	82	55	151	86	100	121
ENSMUSG00000021061	30	8	7	58	106	57	8	16	24	19	30	6	2	13	8
ENSMUSG00000021062	1	1	4	0	0	0	1	0	0	0	0	3	7	0	6
ENSMUSG00000021065	524	767	326	1304	1589	553	501	603	872	682	616	800	811	860	1354
ENSMUSG00000021066	15	4	4	7	19	3	2	8	7	1	16	4	4	2	7
ENSMUSG00000021067	10	17	5	9	18	6	5	11	15	7	11	18	17	9	11
ENSMUSG00000021068	1387	1919	708	1370	1425	520	364	378	736	383	588	827	724	640	889
ENSMUSG00000021069	52	18	9	99	160	58	210	239	163	168	909	422	1099	209	989
ENSMUSG00000021070	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021071	8	1	0	0	2	1	0	0	0	3	8	4	9	0	0
ENSMUSG00000021072	7135	7808	4809	6614	7796	4036	4819	5642	5638	5987	4917	8758	8793	5968	8512
ENSMUSG00000021076	8251	8416	6235	6914	7484	7460	5181	6783	5527	5193	4878	4761	6638	5034	6602
ENSMUSG00000021078	8	15	4	1	3	4	0	4	3	1	1	0	1	3	2
ENSMUSG00000021079	1057	1508	840	626	718	418	1196	1204	1182	539	584	442	548	559	728
ENSMUSG00000021081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021086	7	4	3	0	4	2	2	0	0	1	2	5	2	2	0
ENSMUSG00000021087	0	0	1	7	5	6	3	3	9	19	140	63	103	10	20
ENSMUSG00000021090	4	2	1	0	4	1	2	4	2	116	184	292	230	116	171
ENSMUSG00000021091	0	0	0	0	0	4	1	0	0	4	4	0	0	0	4
ENSMUSG00000021094	2190	2853	2135	3217	3609	2860	1857	2485	2009	3762	2953	5566	4664	3079	3891
ENSMUSG00000021095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021096	1155	1512	566	873	803	479	411	566	591	852	698	1107	975	897	1227
ENSMUSG00000021097	0	0	0	1	2	1	0	0	0	2	0	0	2	0	0
ENSMUSG00000021098	4	0	0	3	3	2	0	0	0	0	3	2	2	0	4
ENSMUSG00000021099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021101	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000021102	327	189	199	265	215	300	328	381	458	284	325	158	301	228	385
ENSMUSG00000021103	722	1090	656	817	803	491	938	1253	1132	698	704	712	1157	660	959
ENSMUSG00000021108	4450	4272	3386	3253	3259	2287	3522	4443	4622	7896	6148	7175	8534	9893	10349
ENSMUSG00000021109	1943	1952	874	1660	1612	726	2795	3649	5459	850	1068	1339	1019	931	1217
ENSMUSG00000021111	5517	5195	3097	5594	5337	2868	3132	3965	4782	2602	2130	2851	2642	3585	4185
ENSMUSG00000021112	1002	1161	400	282	312	110	224	256	454	214	144	268	270	182	355
ENSMUSG00000021113	908	1186	608	836	788	435	432	566	653	563	440	696	672	602	798
ENSMUSG00000021114	9397	9889	5618	9116	8998	6242	3902	5394	4696	4890	4695	6419	7307	4838	6683
ENSMUSG00000021115	3620	4087	2770	5247	5623	3285	3396	4105	3799	1745	2271	2684	2845	2039	2814
ENSMUSG00000021116	8552	9484	5452	9085	9640	7372	12074	13932	12182	5283	4749	6961	6858	6230	8468
ENSMUSG00000021118	17	21	8	14	21	11	7	7	12	0	7	2	7	5	12
ENSMUSG00000021120	716	1077	504	737	923	466	440	543	507	418	432	713	681	442	706
ENSMUSG00000021123	485	390	265	395	411	505	292	488	391	698	566	509	839	663	628
ENSMUSG00000021124	2296	2706	1878	3111	3188	2839	2047	2589	2028	3089	2837	3034	3715	2959	3827
ENSMUSG00000021125	8	12	6	5	10	5	16	16	23	1	139	19	71	16	63
ENSMUSG00000021127	4261	4495	3187	3698	2831	1488	3448	4752	5470	4834	4345	4095	5916	4951	4567
ENSMUSG00000021130	6	12	3	6	12	2	4	2	3	2	12	13	4	8	29
ENSMUSG00000021131	2342	2511	2086	2588	2697	3599	4887	6311	4637	2095	2354	2832	3096	2171	2827
ENSMUSG00000021133	1926	2080	1428	1082	1066	621	421	494	763	941	929	1098	1748	1185	1345
ENSMUSG00000021134	10590	21515	9051	10845	10483	4570	6598	7648	6497	8564	6747	11700	7968	8327	12974
ENSMUSG00000021135	70	114	48	18	17	15	20	13	21	53	24	61	18	31	68
ENSMUSG00000021136	15	33	19	4	19	29	71	77	79	9	12	29	0	6	0
ENSMUSG00000021139	23	53	21	16	12	6	7	5	4	5	14	7	4	15	15
ENSMUSG00000021140	413	368	248	197	159	72	136	186	237	190	453	229	545	193	618
ENSMUSG00000021143	714	732	513	267	220	183	145	186	195	256	337	186	336	284	394
ENSMUSG00000021144	610	533	486	565	582	447	550	635	571	353	434	433	551	448	574
ENSMUSG00000021147	3213	3820	1589	2231	2227	1198	798	1192	1314	1137	1031	1078	1686	1345	1922
ENSMUSG00000021148	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000021149	5073	6007	2689	3891	3853	1925	3556	4251	4939	2308	2119	2440	2524	2672	3935
ENSMUSG00000021156	2736	3233	1574	1668	1725	815	509	655	843	851	762	906	1044	1119	1739
ENSMUSG00000021171	2432	2516	1093	2103	2158	938	496	684	1035	1357	988	1576	1414	1396	1984
ENSMUSG00000021175	429	651	437	1341	1616	1300	1889	2237	2063	1505	1145	1406	2074	1804	2738
ENSMUSG00000021176	52	74	21	85	106	127	91	142	137	69	53	77	176	65	115
ENSMUSG00000021177	1630	1418	1198	1267	1405	2274	2243	2730	1955	1173	902	970	1663	1223	1506
ENSMUSG00000021178	6259	6762	5082	8447	8875	8386	10150	11503	9238	7425	6071	8910	9810	6987	9380
ENSMUSG00000021179	1015	1355	759	1052	1138	823	668	681	517	613	575	325	866	568	679
ENSMUSG00000021180	417	397	152	448	442	191	121	190	270	112	109	126	210	149	196
ENSMUSG00000021182	3768	5406	2300	3158	3269	1792	576	771	804	1677	1617	2169	2414	1863	3314
ENSMUSG00000021185	776	911	539	406	627	285	222	345	276	96	512	261	507	144	488
ENSMUSG00000021186	0	2	0	4	0	1	0	0	1	0	1	0	0	0	1
ENSMUSG00000021187	4	0	1	1	0	0	0	4	1	0	0	1	0	0	1
ENSMUSG00000021188	2836	4412	1375	2767	2719	724	686	839	1443	918	677	919	970	1391	1567
ENSMUSG00000021189	1403	1324	606	982	963	516	392	547	662	394	565	586	655	649	945
ENSMUSG00000021190	425	150	204	1204	1293	760	833	1376	754	1586	10359	4402	7788	2209	9496
ENSMUSG00000021192	1032	1800	820	1660	1577	642	783	1034	1139	1080	965	846	1401	1326	1909
ENSMUSG00000021193	2824	3648	2250	1514	1855	1177	2548	2774	2829	1205	1000	1723	2080	1602	1827
ENSMUSG00000021194	0	4	0	4	2	10	3	1	2	0	0	0	0	0	0
ENSMUSG00000021196	6728	8046	5547	16282	20369	17462	14160	17161	12685	10399	6489	7937	14641	10659	10406
ENSMUSG00000021198	8	1	1	7	7	14	5	1	0	9	17	14	18	0	45
ENSMUSG00000021200	134	35	42	597	444	468	24	36	23	1420	2929	1732	6268	1519	5400
ENSMUSG00000021203	56	70	41	65	73	56	40	40	44	111	71	95	188	143	186
ENSMUSG00000021207	2	0	0	0	0	0	0	3	0	0	3	1	2	0	3
ENSMUSG00000021208	3	2	1	0	0	1	2	0	0	1	4	0	7	6	3
ENSMUSG00000021209	0	0	1	1	0	1	0	0	6	0	0	5	2	0	0
ENSMUSG00000021210	0	1	0	0	0	1	4	3	1	46	43	17	9	26	34
ENSMUSG00000021211	118	93	60	30	32	15	15	27	12	75	45	58	131	84	275
ENSMUSG00000021213	1639	1602	1198	1205	1211	1149	248	271	276	789	654	600	1261	687	1724
ENSMUSG00000021214	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ENSMUSG00000021215	1939	1951	1218	1593	1644	963	1526	2058	2088	719	765	515	1113	728	1039
ENSMUSG00000021216	1	0	0	0	0	0	0	3	1	0	3	0	0	0	0
ENSMUSG00000021217	13	5	1	1	6	6	6	4	0	1	24	9	11	35	17
ENSMUSG00000021218	27921	27470	17763	38350	39498	23071	28598	37374	36360	21298	24877	23658	34139	27697	33637
